,hotel_star,hotel_address,reviews_count,quality
176,4,190bermondseystreetse1southwarklondonse13tqunitedkingdom,"1,206 reviews",Very Good 
177,4,16londonstreetpaddingtonwestminsterboroughlondonw21hlunitedkingdom,550 reviews,Good 
178,4,814talbotsqpaddingtonwestminsterboroughlondonw21tsunitedkingdom,"1,679 reviews",Good 
179,4,12londonstreetwestminsterboroughlondonw21hlunitedkingdom,180 reviews,Pleasant 
180,4,190sussexgardenswestminsterboroughlondonw21tuunitedkingdom,767 reviews,Very Good 
181,4,no1seethinglanecityoflondonlondonec3n4axunitedkingdom,"1,443 reviews",Wonderful 
182,4,25londonstreetwestminsterboroughlondonw21hhunitedkingdom,"1,938 reviews",Good 
183,4,towerbridgeroadsouthwarklondonse13ununitedkingdom,"2,040 reviews",Very Good 
184,4,1lancasterterracewestminsterboroughlondonw23pfunitedkingdom,17 reviews,Good 
185,4,144praedstpaddingtonwestminsterboroughlondonw21huunitedkingdom,"2,189 reviews",Pleasant 
186,4,208sussexgardenswestminsterwestminsterboroughlondonw23uaunitedkingdom,837 reviews,Very Good 
187,4,7pepysstreetcityoflondonlondonec3n4afunitedkingdom,"10,848 reviews",Good 
188,4,4northwharfroadwestminsterboroughlondonw21nwunitedkingdom,"1,793 reviews",Wonderful 
189,4,153157towerbridgeroadsouthwarksouthwarklondonse13lwunitedkingdom,"1,714 reviews",Wonderful 
190,4,146praedstreetwestminsterboroughlondonw21eeunitedkingdom,"2,500 reviews",Good 
191,4,10pepysstreetcityoflondonlondonec3n2nrunitedkingdom,"2,898 reviews",Excellent 
192,4,196bishopsgatecityoflondonlondonec2m4nrunitedkingdom,553 reviews,Very Good 
193,4,814coopersrowcityoflondonlondonec3n2bqunitedkingdom,"8,971 reviews",Good 
194,4,28gloucesterterracewestminsterboroughlondonw23daunitedkingdom,"1,002 reviews",Very Good 
195,4,12lancastergatelancastergatewestminsterboroughlondonw23lgunitedkingdom,"2,617 reviews",Good 
196,4,51gloucesterterracewestminsterboroughlondonw23dqunitedkingdom,"2,388 reviews",Very Good 
197,4,40trinitysquarecityoflondonlondonec3n4djunitedkingdom,"5,474 reviews",Excellent 
198,4,911sydneystreetkensingtonandchelsealondonsw36puunitedkingdom,390 reviews,Good 
199,4,211tooleystreetsouthwarklondonse12jxunitedkingdom,"1,238 reviews",Excellent 
200,4,53upperstreetislingtonlondonn10uyunitedkingdom,"1,908 reviews",Very Good 
202,4,351edgwareroadwestminsterboroughlondonw21bsunitedkingdom,554 reviews,Very Good 
203,4,widegatestreetcityoflondonlondone17hpunitedkingdom,688 reviews,Good 
204,4,13harringtonroadlondonkensingtonandchelsealondonsw73esunitedkingdom,176 reviews,Wonderful 
205,4,130135minoriescityoflondonlondonec3n1nuunitedkingdom,"4,213 reviews",Very Good 
206,4,142minoriescityoflondonlondonec3n1lsunitedkingdom,307 reviews,Very Good 
207,4,1115minoriesstcityoflondonlondonec3n1axunitedkingdom,918 reviews,Excellent 
208,4,2326lancastergatewestminsterboroughlondonw23lpunitedkingdom,128 reviews,Wonderful 
209,4,3637lancastergatewestminsterboroughlondonw23naunitedkingdom,"4,035 reviews",Good 
210,4,27devonshireterracewestminsterboroughlondonw23dpunitedkingdom,"3,785 reviews",Pleasant 
211,4,2devonshireterracewestminsterboroughlondonw23dnunitedkingdom,55 reviews,Pleasant 
213,4,9aldgatehighstreetcityoflondonlondonec3n1ahunitedkingdom,"6,610 reviews",Very Good 
215,4,81greateasternstreethackneylondonec2a3huunitedkingdom,"1,538 reviews",Very Good 
216,4,50lancastergatewestminsterboroughlondonw23naunitedkingdom,"1,249 reviews",Good 
217,4,711queensberryplacekensingtonandchelsealondonsw72dlunitedkingdom,"1,725 reviews",Good 
218,4,7882westbourneterracewestminsterboroughlondonw26qaunitedkingdom,"3,836 reviews",Pleasant 
219,4,18lodgeroadnearbakerstreetandmarylebonewestminsterboroughlondonnw87jtunitedkingdom,"1,917 reviews",Very Good 
220,4,6167greateasternsthackneyhackneylondonec2a3huunitedkingdom,"1,667 reviews",Wonderful 
221,4,3134queensgatekensingtonandchelsealondonsw75jaunitedkingdom,"1,479 reviews",Very Good 
